Age,TV
60,325
41,60
26,120
36,265
51,60
32,60
44,0
21,210
33,120
39,0
26,120
33,175
42,79
17,490
32,83
45,0
59,120
28,0
50,51
17,270
47,480
39,0
23,120
18,0
25,111
21,240
48,340
58,140
59,390
27,30
21,550
42,180
46,255
68,10
59,98
63,150
39,0
43,355
37,95
45,210
50,420
47,100
38,5
58,0
31,0
17,0
51,395
21,245
79,255
41,240
55,0
36,260
40,180
47,60
17,30
67,275
29,0
58,185
34,0
36,120
46,0
80,0
70,180
45,20
26,5
54,180
37,60
67,75
41,60
31,0
58,430
45,0
78,658
68,392
80,595
52,184
32,0
80,285
32,0
15,90
46,180
37,585
80,80
42,0
53,0
39,0
75,484
38,0
54,638
24,330
79,240
52,585
29,90
67,615
32,230
65,120
36,150
54,460
17,0
48,150
74,45
61,45
46,280
57,90
56,0
20,110
43,140
68,240
54,285
31,10
51,65
53,105
63,541
66,205
17,210
68,0
36,130
51,45
80,105
60,90
18,0
39,330
57,0
75,330
37,0
28,120
36,201
52,71
46,177
33,0
34,60
68,160
17,603
65,365
36,120
31,0
78,180
39,225
51,1195
48,225
56,0
69,0
70,475
80,120
67,295
38,375
57,103
68,0
17,105
34,232
39,0
25,0
74,700
56,120
26,353
64,460
30,152
42,160
38,95
65,219
76,310
43,0
45,0
62,263
16,170
65,341
45,0
43,130
59,120
61,259
34,360
39,30
65,440
47,530
53,95
55,140
54,150
68,60
28,515
68,270
39,20
29,60
58,0
47,90
45,30
59,570
40,165
80,580
80,325
80,600
37,100
72,220
60,0
25,354
43,155
66,340
40,35
58,0
52,0
60,300
60,0
38,141
47,50
62,110
15,261
57,142
32,240
23,210
59,305
80,360
67,680
41,60
52,130
49,320
53,145
65,30
74,60
30,85
38,40
69,435
58,26
67,135
34,0
24,114
25,0
16,90
80,0
67,210
72,145
35,179
31,180
58,570
46,60
67,390
21,129
26,255
28,205
43,553
35,90
29,117
56,90
41,165
80,45
16,0
16,0
33,300
20,520
40,165
57,175
48,0
28,220
42,60
42,240
18,235
36,155
31,600
19,210
41,181
41,65
19,0
78,0
55,60
68,0
26,75
49,220
43,218
21,60
28,20
30,25
72,90
51,135
63,143
46,0
49,220
15,195
48,120
18,45
51,270
33,120
75,235
43,515
67,0
34,180
31,0
76,325
35,45
34,0
52,596
41,120
77,360
53,165
27,233
65,492
71,60
49,430
74,0
34,75
31,280
56,353
43,80
26,120
32,80
50,110
36,30
48,70
60,590
58,495
60,480
38,244
30,114
42,30
36,180
42,120
56,171
61,300
55,130
31,0
42,120
37,60
18,240
22,149
28,169
39,140
35,0
42,120
43,195
29,360
